Time,Step,Metric,Value
1701619156.0447567,2,KL_Divergence/robot_4,0.07301675528287888
1701619156.2997904,2,Value Loss/Robot 4,42.82836151123047
1701619156.3051767,2,Loss/policy_loss_robot_2,2.111725091934204
1701619156.3051968,2,KL_Divergence/robot_2,0.10742160677909851
1701619156.5630283,2,Value Loss/Robot 2,10.22700023651123
1701619156.5686588,2,Loss/policy_loss_robot_5,0.985451877117157
1701619156.5686784,2,KL_Divergence/robot_5,0.19544070959091187
1701619156.8229003,2,Value Loss/Robot 5,17.355810165405273
1701619165.0097404,3,Reward/average_reward,-36.81520080566406
1701619165.3516636,3,Loss/policy_loss_robot_1,2.1363720893859863
1701619165.3516912,3,KL_Divergence/robot_1,0.03113500401377678
1701619165.6052263,3,Value Loss/Robot 1,78.50634765625
